,bairro,cep,cidade,descricao,estado,preco,tilulo,tipo
4293,Pajuçara,59133-304,Natal,"A8 + Plus Muito conservado * Câmera perfeita, foto acima tirada do aparelhosem efeito!* Na garantia Aparelho, muito pouco usado 3 mesesde garantia restante*Todos os acessórios, carregador turbo.*NÃO ACEITO TROCAS!*Aceito Cartão com acréscimo da máquina ",Usado,1399,A8+ Plus ,Samsung
4295,Planalto,59073-170,Natal,vendo ou troco por algo do meu interesse zap986035909... ver número,Novo,370,LG k4 2018 ,LG
4296,Neópolis,59080-490,Natal,vendo ou troco em iPhone/ moto E5 play 16 GB superzelado até dezembro na garantia. biométriafunciona perfeitamente cor prata. 5 mês de uso só.pra vender logoooo ,Usado,550,Moto E5 play ,Motorola e Lenovo
4297,Igapó,59106-116,Natal,"ABSMARTPHONE*NOVO COM 1 ANO DE GARANTIAASUS Zenfone Max Shot 4GB/64GB VermelhoTela: 6,2"" FHD+Câmera: Tripla: 12MP + 5MP + 8MP / 8 MPMemória: 64 GB / 4 GB ramConectividade: 4G - Câmera Tripla com InteligênciaArtificial para Detecção de Cena;- Bateria de 4.000mAh;- Tela mais ampla 18:9 FHD+ e 6,26?;- Processador Qualcomm Snapdragon SIP1 Octa Core1,8GHz.R$1.399,00ACEITAMOS TODOS OS CARTÕES DE CRÉDITO + TAXA ATÉEM 12 VEZES.CONTATO: (84)9986407... ver número51 *ABsmartphone*#asuszenfone #maxshot #smartphone #qualidade #asus ",Novo,1399,Zenfone Max Shot ,Asus
4298,Igapó,59106-116,Natal,"ABsmartphones* !!!!NOVO 1 ANO DE GARANTIA!!!!!ASUS ZenFone 5Z 8GB/256GB PretoTela: 6,2"" FHD+Câmera: Dual: 12MP + 8MP / 8 MPMemória: 256 GB / 8 GB ramConectividade: 4G - Câmera dupla com InteligênciaArtificial e Aprendizagem Fotográfica;- Qualcomm® Snapdragon? 845, o melhor processadormóvel;- Tela Gigante de 6,2 e proporção de 19:9;- Alto-falantes estéreo com InteligênciaArtificialR$2.499,00ACEITAMOS SEU APARELHO COMO PARTE DO PAGAMENTOACEITAMOS TODOS OS CARTÕES DE CRÉDITO + TAXA ATÉEM 12 VEZES.CONTATO: (84)9986407... ver número51 *ABsmartphones*#asuszenfone #5z#smartphone #qualidade #asus ",Novo,2499,Zenfone 5Z ,Asus
4299,Pajuçara,59125-320,Natal,novo sem nenhum arranhão ,Usado,350,Iphone 4s 16gb ,Iphone
4300,Neópolis,59080-540,Natal,a mulher do carregador caixa celular estásemi-novo 100% garantia eu não tenho mais não édifícil não é o primeiro dono telefone paracontato 988543157... ver número menor preço de bomba $490 ,Novo,550,Vendo e troco iPhone 5S 16gb ou moto G5 ,Iphone
4301,Neópolis,59086-015,Natal,"vendo ou troco em celular inferior mais volta emdinheiro do interessadoaceito cartãocelular funcionando perfeitamente tudo, 32gb, 3gbde ram, processador OCTACORE de 2ghtz, biometria,tela de 5.5 polegadas, câmera de 13mp ",Usado,549,"Imperdível j7 prime 32gb, 3gb de ram, biometria ",Samsung
4303,Nova Descoberta,59075-310,Natal,"J4 16 gigas novíssimo na garantia até 2020 4G edual chip e tela 5.5 com somente carregador ecapas e caixa e nota fiscal e garantia 600,00valor negociável só venda não troco somente avistavalor negociável wassap 98725-9173... ver número só venda nãotroco somente avista valor negociável faço entregamotivo da venda comprei um iPhone ",Novo,600,J4 16 gigas core plus novíssimo na garantia ,Samsung
4304,Candelária,59065-020,Natal,Acompanha carregador Garantia até 2020 Aceito cartão ,Usado,2250,IPhone 8 R$ 2.250 ,Iphone
4305,Igapó,59104-300,Natal,"vendo j5 duos 4G normal , qualquer duvida chamarno watts 994481071... ver número",Usado,280,Vendo j5 ,Samsung
4306,Candelária,59065-600,Natal,"Mi Band 2 XiaomiCor: BlackConexão Bluetooth 4.2 BLEPulseira inteligente compatível com Android eiPhone (iOS). Monitora dados como batimentos cardíacos, passos edistância percorrida pelo usuário ao longo do dia.Faz notificação de chamadas e aplicativos e funçãodespertar.(Usado por 2 meses) ",Usado,120,Mi Band 2 Xiaomi ,Acessórios
4307,Lagoa Azul,59138-250,Natal,LG q7 plus 64 giga leitor biométrico 4 de ramcompleto caixa carregador fone de ouvidodocumentos na garantia aprova de água e poera obsesta tricado mais funcionando perfeitamente meucontato esse ai 988032466... ver número,Usado,450,Celular ,LG
4308,Rocas,59010-300,Natal,com trincos ,Usado,300,K10 novo com trincos mais funciona nomalmente ,LG
4309,Ponta Negra,59090-313,Natal,"em perfeito estado de conservação, 16gigas. chamarno sap 987182439... ver número",Usado,250,Vendo A5 ,Samsung
4310,Lagoa Azul,59138-250,Natal,J6 64 giga leitor biométrico leitor facial estácom um tronco na parte de cima mais funcionandoperfeitamente com película de vidro e capaprotetora meu contato esse número 988032466... ver número,Usado,450,Celular ,Samsung
4311,Potengi,59108-500,Natal,"Vendo ou troco MI MIX2, com 2 meses de uso ",Usado,1700,MI mix 2 ,Outras marcas
4312,Cidade da Esperança,59070-645,Natal,"Está com bateria viciada, para vender mas aceitotrocas em algo do meu interesse ",Usado,60,Samsung core plus ,Samsung
4313,Potengi,59124-460,Natal,Celular em ótimo estado de conservação. Acompanhacarregador apenas. Tem apenas um trinco na tela que não interfere nouso e a biometria do botão home que tá off. Bateria em bom estado é desbloqueado.iCloud em meu nome.Whats- 99821-5891... ver número,Usado,680,IPhone 6 16gb Leia a descrição ,Iphone
4314,Ponta Negra,59091-170,Natal,Modelo com android 8.1Memória de 32gbGarantiaNota fiscalSem marcas de usoVisor trocado porém original ,Usado,700,Galaxy j7 prime na garantia e sem marcas de uso ,Samsung
4315,Pajuçara,59133-380,Natal,vendo motog3 16gb pra hoje valor 230 reais soaparelho pegar em natal zn pajucara fone 988431347... ver número,Usado,230,MotoG3 16GB ,Motorola e Lenovo
4316,Potengi,59108-220,Natal,semi novo funcionando tudonada trincado ,Usado,200,Moto G2 ,Motorola e Lenovo
4317,Nossa Senhora da Apresentação,59114-268,Natal,"vendo, j5 prime celular todo ok, mais informaçõeschamar whats 988482019... ver número",Usado,450,J5 prime ,Samsung
4318,Quintas,59040-480,Natal,Lenovo k5 ,Usado,150,Lenovo k5 ,Motorola e Lenovo
4319,Nova Descoberta,59075-350,Natal,iPhone 5s 16gb funcionando tudo.Acompanha cabo + protetor e capinha.84 99642-1448... ver número,Usado,470,IPhone 5s ,Iphone
4320,Planalto,59073-094,Natal,funcionando ,Usado,120,Positivo selfie ,Outras marcas
4321,Neópolis,59088-510,Natal,"Maiores informações- WhatsApp 9,9631-2285... ver número- Xiaomi Mi 8 Lite Azul e Preto Lacrado - Tela 6,18 Polegadas- Câmera 20MP- Frontal 24MP- Dual chip 4G - Leitor Digital e Facial - Memória interna 64GB Ram 4GB - Processador Snapdragon 660 ",Novo,1199,Xiaomi Mi 8 Lite 64GB Lacrados ,Motorola e Lenovo
4322,Lagoa Azul,59138-600,Natal,vendo do meu uso particular 6 meses de uso sem umarranhão na caixa. motivo da venda financeiromesmo o celular está novinho com nota fiscalinteresse fala no ZAP ou liga 987144203... ver número,Usado,500,Moto G 6 play ,Motorola e Lenovo
4323,Neópolis,59088-510,Natal,"Maiores informações- WhatsApp 9,9631-2285... ver número- Xiaomi Note 7 Azul Lacrado. - Tela 6,3 Polegadas- Câmera 48MP-Leitor Digital e Facial - Processador Snapdragon 660 ",Novo,1129,Xiaomi Note 7 32GB 64GB 128GB Lacrados ,LG
4324,Alecrim,59040-070,Natal,Vendo bateria original+tampa traseira do celularSansung J1 ,Usado,60,Bateria+tampa traseira ,Samsung
4325,Felipe Camarão,59072-390,Natal,Vendo tablete em perfeito estado apenas marcas deuso único dono obs n acanpanha o carregador ,Usado,300,Tab E ,Samsung
4326,Igapó,59104-300,Natal,Aparelho 100% funcional.Sem defeitos ou detalhes.ACEITO CARTÕES.ZAP ZAP 9 8845 6108... ver número,Usado,170,Moto g1 dois chips ,Motorola e Lenovo
4327,Lagoa Nova,59059-310,Natal,vendo ou troco um j5 normal de 16 GB e 1.5 de raminteresse chama no ZAP 987741608... ver número,Usado,270,Vendo ou troco j5 normal de 16 GB ,Samsung
4328,Alecrim,59032-150,Natal,"j4 na cx com nota fiscal,carregador,pelicula,capade silicone,socket pop por apenas 600,00Whatsapp 9 8741-6035... ver númerotroco em celular da tela maior tbm. ",Novo,600,Só Hoje !!!vendo ou troco ,Samsung
4329,Guarapes,59074-690,Natal,"Perfeito funcionando perfeitamente tudo 1,250 aceito cartão mais taxaSomente o aparelho ",Usado,1200,S7 edge azul lindo ,Samsung
4330,Tirol,59020-590,Natal,"Celular em estado de zero. Sem nenhum arranhão,top de linha. Tela 6.2 64 gb 16 megapixels 4 gbram câmera excelente. Sem marca de uso. Preçomuito abaixo do mercado 1.200,00 aceito proposta.99910-0721... ver número",Usado,1200,Vendo celular asus zenfone5 ,Asus
4331,Cidade Nova,59072-550,Natal,"vendo ou troco por celular moto G3, o relógio pegachip, cartão de memória, **, whatsapp, grava, temcâmera, e muito mais, top de linha ",Usado,150,Vendo relógio celular novo na cor preta ,Motorola e Lenovo
4332,Bom Pastor,59060-157,Natal,"Vendo ou troco iPhone 5s, ele tem 16 gigas possuitecnologia avançada projetadas especialmente parao hardware e o software da câmara iSight. Eleestado semi novo, sem marcas de uso. O únicoproblema é a impressão digital que parou defuncionar, fora isso ele está em perfeito estado.Ele acompanha carregador, chave de remoção dechip, película já instalada é capinha.Preço negociável, aceito propostas.WhatsApp:98714 - 1124... ver número",Usado,400,"IPhone 5s, vendo ou troco por outro celulares ",Iphone
4333,Neópolis,59088-330,Natal,"Aparelho zero, sem uso.Aberto apenas para conferência Aparelho top 64gb 4 de hanTela 6.2E muito mais. tenho desconto avista, aceitamoscartão com acréscimos.Somente venda ",Novo,1250,Xiaomi mi 8 lite sem uso ,Outras marcas
4334,Potengi,59120-420,Natal,"vendo o melhor custo benefício da categoria32gb memoria internanovo - LacradoRestam 2(duas) unidadespreço de a vistaparcelo em 4x de 196,00 no cartão. ",Novo,759,Moto G7 Play (lacrado) ,Motorola e Lenovo
4335,Felipe Camarão,59074-190,Natal,ele caiu ficou com a tela assim nao sei o defeitotroco em outro ou vendo ,Usado,200,Microsoft ,Outras marcas
4336,Potengi,59124-620,Natal,"O Smartwatch A1 é um Relógio Inteligente quepossuí um sistema próprio com Bluetooth que possuídiversos recursos semelhantes a um Smartphone.Construído com material de qualidade, possuí umlindo design inovador e moderno, que combina comtodos os estilos e ocasiões.Sua Pulseira se ajusta a diversos tamanhos eproporciona total conforto no seu dia-a-dia.Um verdadeiro companheiro para suas rotinasdiárias.Se você estiver indo fazer uma corrida, academia,ou simplesmente optar por deixar o seu celular emcasa, você pode utilizar o seu cartão de memória echip direto no relógio, assim você conseguereceber ligações, fazer chamadas telefônicas,ouvir músicas utilizando um fone bluetooth,(Pareamento entre Relógio e Fone), totalpraticidade e comodidade, nos dias atuais, podeser uma forma de evitar roubos e furtos do seuSmartphone!Abaixo alguns dos recursos disponíveis:- Atenda e faça Chamadas telefônicas pelo própriorelógio ou se quiser atenda pelo relógio e falepelo seu celular.- Ouça e troque músicas direto no relógio (Cartãode memória necessário) ou por conexão Bluetoothcom seu celular.- Tire fotos utilizando a câmera do relógio ou doseu celular.- Utilize o alarme para auxiliar em tarefas do seudia-a-dia, além disso pode usar como despertador.- Controle sua saúde, faça o monitoramento do seusono, lembrete sedentário, pedômetro (Passosdados).- Se o seu celular só tem entrada para 1 Chip Sime você está precisando de um novo número detelefone ou quer ter mais de uma operadora, vocêpode usar um novo Chip de qualquer operadoradireto no relógio, com isso você pode atender efazer ligações quando e onde quiser com seu novonúmero.- Possuí um ótimo Gravador de voz, seu microfonetem excelente captação de som.- Receba notificações de diversos aplicativos doseu Celular como: WhatsApp, **, **, **e outrosapps.(ATENÇÃO ESTE RECURSO DE NOTIFICAÇÕES DOSAPLICATIVOS ESTÁ DISPONÍVEL APENAS NO SISTEMAANDROID, PARA O IOS VOCÊ NÃO RECEBE ASNOTIFICAÇÕES DO SEU IPHONE).Com sua tela Touch De 1,54 Polegadas, você temfacilidade na navegação pelos diversos recursosdisponíveis no Smartwatch A1, ele é desbloqueadopara todas as operadoras com compatibilidade paraChip Micro Sim, possuí entrada para cartão dememória Micro SD de até 32Gb, bateria recarregávelcom excelente tecnologia e ótima duração, o tempode bateria depende dos recursos utilizados duranteo seu dia.Para fazer o pareamento entre os aparelhos, bastaativar o Bluetooth em ambos (Relógio e Celular) edepois pesquisar pelo Celular o nome do Relógio -A1.APENAS NO ANDROID:Para conectar as notificações/chamadas do seuSmartphone com o Relógio A1, você precisa usar oaplicativo BT NOTIFICATION OU MEDIATEKSMARTDEVICE. Para baixar os aplicativos no seucelular, basta ler o QR CODE que consta no relógioque você será direcionado para o downloadautomaticamente.Aproveite e invista neste incrível produto comtecnologia garantida e design elegante!ESPECIFICAÇÕES:Modelo: A1 SmartwatchTela: Touch Screen ColoridaResolução Da Tela: 240x240 PxTamanho Da Tela: 1,54 PolegadasInterface De I/O: Micro UsbCâmera: 0.3 Mp Frontal Para SelfiesBluetooth: Ver. 3.0Distância de Pareamento C/Bluetooth: 10mDiscagem Bluetooth: SimChamada Via Bluetooth: SimEntrada Para Micro Chip qualquer operadora: 1Slot Para Cartão Micro Sd: 1 De Até 32gbPedômetro: SimMonitoramento De Sono: SimAlarme Anti Perda: SimRelógio: SimDespertador: SimCalendário: SimCronômetro: SimToques: SimMicrofone para Chamadas HandsFree: SimG-Sensor: SimRede De Telefone: Gsm/Gprs 850/900/1800/1900... ver númeroSms: Sms Local, Sincronização De Sms De CelularVia BluetoothEntretenimento: Mp3/Mp4 Player Via BluetoothVisor Do Relógio: 3 Interfaces DiferentesDisponíveisSistema Operacional Sim do: Android e IOSCompatibilidade p/ Notificações: Whatsapp, **, **EDiversos Outros Aplicativos DisponíveisCpu: Mtk 6261Bateria: 380mahCertificação: Ce RohsDimensões do Smartwatch:Relógio c/ Tela: 38mmComprimento da Pulseira (De uma ponta a outra dorelógio): Aprox. 26,5cmLargura da Pulseira: 18mmPeso Embalagem: 132gITENS INCLUSOS:01 - Relógio Smartwatch A101 - Caixa do Smartwatch01 - Cabo Usb para Recarga01 - Manual em Inglês/Chinês* Produto Importado.* Ao Efetuar a compra, verificar as coresdisponíveis no momento.* Seleciona a cor desejada no campo ao efetuar acompra. Compras sem menção da cor desejada, seráenviada na cor de maior disponibilidade nomomento.* O Prazo de entrega é estipulado pelo CORREIOS,sendo os mesmos responsáveis por eventuais atrasosque possam ocorrer na entrega.* Produto com Garantia de 3 meses.Chamar no WhatsApp: 849994916... ver número92 ",Novo,199,Smartwatch A1 ,Acessórios
4337,Neópolis,59088-510,Natal,"Xiaomi Mi 8 Lite 64GB. - Lacrados Com Capa e Película. - Maiores informações- WhatsApp 9,9631-2285... ver número",Novo,1199,Xiaomi Mi 8 Lite 64GB Azul e Preto Lacrados ,Outras marcas
4338,Neópolis,59088-510,Natal,"Maiores informações- WhatsApp 9,9631-2285... ver número- Tela 6,18 Polegadas- Câmera 24MP- Dual Chip 4G - Versão Global- Leitor Digital- Processador Snapdragon (660)- Memória interna 64GB 4GB RAM. ",Novo,1199,Xiaomi Mi 8 Lite 64GB Azul e Preto Lacrados. ,Outras marcas
4339,Neópolis,59088-510,Natal,"Configurações Do Aparelho. - Tela 6,3 Polegadas- Câmera 48MP- Frontal 20MP- Dual Chip 4G - Versão Global- Leitor Digital- Processador Snapdragon(660)- Maiores informações- WhatsApp 9,9631-2285... ver número",Novo,1129,Xiaomi Note 7 32GB/64GB/128GB Lacrados. ,Motorola e Lenovo
4340,Felipe Camarão,59072-390,Natal,"vendo granpraime 8gb por 200,00 qualquer coisaliga pra 987791025... ver número",Usado,200,Vendo ,Samsung
4341,Candelária,59066-050,Natal,Vendo iPhone 6 64gb ,Usado,800,IPhone 6 ,Iphone
4342,Nova Descoberta,59075-315,Natal,9 meses de usoum leve trinco na parte de trás carregador original ,Usado,850,Troco moto g6 plus ,Motorola e Lenovo
4343,Nova Descoberta,59075-315,Natal,9 meses de uso carregador original um leve trinco na parte de trás em estado de novo ,Usado,850,Só troco . moto g6 plus ,Motorola e Lenovo
4344,Felipe Camarão,59074-340,Natal,aparelho muito novo sem marcas de uso funcionando100% acompanha caixa carregador e a nota garantiaaté mês 10 aceito cartão zap 999476218... ver número,Usado,1350,Moto z3 play ,Motorola e Lenovo
4346,Tirol,59015-300,Natal,"menos de 1 ano de uso, garantia estendida,funcionando perfeitamenteSó venda, valor negociável ",Usado,600,J5 prime ,Samsung
4348,Nossa Senhora da Apresentação,59114-070,Natal,ta novinho desistir de usar interesandos chama nozap (84)9881274... ver número29 ,Novo,70,Telefone fixo ,Telefones e aparelhos de fax
4349,Lagoa Nova,59054-655,Natal,"Vendo Tablet Samsung, com marcas de uso apenasatrás, sem nenhum trinco na tela e funcionandoperfeitamente.Interessados entrar em contato pelo WhatsApp98809-0745... ver número. ",Usado,350,Tablet Galaxy Tab. ,Samsung
4350,Alecrim,59030-000,Natal,"Whats: 99457-2791... ver númeroiPhone XS MAX 64gb na cor preto!só funciona operadora OI4499,00 à vista Aceito seu iPhone como entrada!Aceito cartão com acréscimo! ",Novo,4299,XS Max 64gb NOVO Só funciona Oi ,Iphone
4351,Nossa Senhora da Apresentação,59114-460,Natal,Apenas c 3 semanas de uso ,Usado,400,Celular alcatel ,Outras marcas
4352,Alecrim,59037-560,Natal,"celular com Marcas de uso e a Tela trincada, porémnão influencia em nada no uso, funcionando tudoperfeitamente! valor negociável, faço troca emiphone 7 e pago o valor a mais a vista ",Usado,200,Celular Samsung S5 mini ,Samsung
4353,Alecrim,59037-250,Natal,carregador turbo super rápido ,Novo,30,Carregador turbo super rápido ,Acessórios
4354,Potengi,59108-140,Natal,"j5 metal 16gb, seminovo apenas marcas de uso etrinco na tela apenas na parte inferior esuperior, funciona normalmente tudo, inclusive oflash frontal.informações Whatsapp 996398122... ver número",Usado,270,J5 metal 16gb ,Samsung
4355,Alecrim,59037-560,Natal,"celular com Marcas de uso e com o vidro da telatrincado, mas não influencia em nada no uso,funcionando tudo perfeitamente! valor negociável!faço troca em iphone 7 e pago a volta a vista! ",Usado,300,Celular Samsung J5 Prime ,Samsung
4356,Potengi,59124-550,Natal,J5 Prime 32 GB de memória funcionando tudoperfeitamente aceito cartão também zapp 988599796... ver númeroele e zero ,Novo,520,J5 Prime aceito propostas Zap 98859-9796 ,Samsung
4357,Pajuçara,59133-135,Natal,"Vendo ou troco Tablet novo zero, com todos osacessórios, Fabricante Positivo, aceito propostas,aceito cartão, pega chip, tela de 10, pra fazernegócio rápido, motivo da negociação, comprei maisdepois achei muito grande.obs, troco por celular,ou algo que me interessa ",Novo,500,"Tablet Positivo Novo Zero, Vendo e troco ",Outras marcas
4358,Lagoa Nova,59075-170,Natal,j1 2016preço negociável ,Usado,270,Celular j1 2016 ,Samsung
4359,Capim Macio,59082-321,Natal,chama no Whats 99650-7457... ver número,Usado,350,Samsung j5 350 ,Samsung
4360,Planalto,59073-090,Natal,vendo moto G6 plus apenas trincado mais que natrapalha em nada interessados chama no meuWhatsApp (84)99936-4619... ver número,Novo,620,Moto g6 plus 64gb ,Motorola e Lenovo
4361,Dix Sept Rosado,59052-475,Natal,ótimo estado apenas esse minitrinco imperceptíveltroco tbm dependendo da oferta ,Usado,400,Moto G5s ,Motorola e Lenovo
4362,Igapó,59104-250,Natal,vendo moto G5 32gs biometria funcionando perfeitoZAP 986050415... ver número menor valor já pra hoje 250 ,Usado,250,Vendo moto G5 está trincado menor valor já ,Motorola e Lenovo
4363,Igapó,59104-250,Natal,menor valor já pra vim pegar agora na Av boa sortenúmero 222 nossa senhora da apresentação ZAP986050415... ver número vai com o carregador vendo rápido praagora ,Usado,270,Vendo moto G4 play menor valor ja ,Motorola e Lenovo
4364,Lagoa Nova,59056-300,Natal,"XIAOMI MI 8 LITEMemória Interna: 64GB Câmera Frontal: 24.0MP Câmera Traseira: 12.0MP + 5.0MP Processador: Qualcomm Snapdragon 660 AIE, núcleoOcta, 2.2GHz Tamanho do Display: 6.26 Memória Ram: 4GB Sistema Operacional: Android Versão: S.O. Android Sistema Operacional: MIUI 9 (Base no sistemaoperacional Android 8.1) CPU: Qualcomm Snapdragon 660 AIE Núcleo Octa, 2.2GHz GPU: Adreno 512RAM 4GBROM: 64GB Armazenamento externo até 256GB Display Tipo de tela: Tela capacitiva Tamanho da Tela: Polegadas 6.26 Resolução da tela: Tela 2280 x 1080 Pixel FHD +,403PPi Conectividade sem fio: GSM, 3G, 4G, GPS, WiFi,BluetoothFrequência: 2G: GSM B2 / B3 / B5 / B8, CDMA 1X /EVDO BC03G: B1 WCDMA / B2 / B5 / B8, B34 TD-SCDMA/ B39, CDMA EVDO BC04G: FDD-LTE B1/B3/B5/B7/B8,TDD-LTE B34/B38/B39/B40/B41 Bluetooth: 5.0 WiFi: 802.11a / b / g / n / ac GPS: GPS / AGPS / GLONSAA / BEIDON Tipo de Câmera: Uma frente duas atrás Câmera Dual Back: 12.0MP + 5.0MP Câmera frontal: 24.0MP Gravação de Vídeo: Simconectividade Slot para cartão SIM: Cartão dual Nano: Simstandby (cartão SD usará slot SIM 2) Fuso para cartão TF: Sim Ranhura USB: Tipo-C Saída de áudio: Sim (interoperabilidade de cargade boca) Microfone: Suportado Palestrante: Suportado Mídia Formato de Video: 3GP, MP4, RMVB Formato de Áudio: WAV, AMR, MP3 Formato da imagem: GIF, JPEG, BMP, PNG Rádio FM: N / A Sensor Giroscópios, Sensores deaceleração, Sensores de distância, Sensores de luzambiente, Bússola eletrônica 4G, WIFI, GPS, Bluetooth, Detecção de Gestos,Smart Wake, Ebook, E-mail, Mensagens, wallpapers,calendário ",Novo,1399,Mi 8 Lite (COM GARANTIA) ,Outras marcas
4365,Nossa Senhora da Apresentação,59114-000,Natal,iphone 5s 450 Reais ,Usado,450,Iphone 5s 450 Reais ,Iphone
4366,Lagoa Azul,59138-680,Natal,"qualquer coisa chama whats, 986202249... ver número ou 987273008... ver número",Usado,450,"Motog5 s plus, com poucas marcas de uso, preço negociável. ",Motorola e Lenovo
4367,Cidade da Esperança,59071-280,Natal,pra retirar peças j1 Mini pra vender logo ,Usado,30,Pra retirar peças j1 Mini ,Samsung
4368,Planalto,59073-153,Natal,com leve trincomas funciona perfeitamente.1 giga de ram8 gigga memoriaandroid 5.0.2fale no whatsapp nao respondo chat.987383830... ver número valornegociavel ,Usado,150,Lg l90 ,LG
4369,Felipe Camarão,59072-433,Natal,"s6 edge 64 gb,4 de ram,funcionandoperfeitamente,do meu uso celular muinto bom.aceitoproposta ",Usado,550,S6 edge ,Samsung
4370,Lagoa Nova,59056-100,Natal,iPhone 7 rosê256gbÚnica dona Poucas marcas de usoVenda com e sem acessórios Interessados 84 9980099... ver número99 ,Usado,1700,IPhone 7 ,Iphone
4371,Pajuçara,59123-610,Natal,Nenhum defeito. Aceito cartões. Whatsapp;99839-4043... ver número,Novo,250,Lenovo ,Motorola e Lenovo
4372,Pitimbu,59068-180,Natal,Vendo Iphones Com até 1000 reais de desconto! Produtos Originais!Direto dos Estados Unidos!Entregue em Sua Residência!Economize Muito Mais e finalmente adquira o seuIPhone Novinho!Temos:- Iphone 6- Iphone 7- Iphone 8- Iphone X- Iphone Xr- Iphone XS- Iphone XS MaxQuer saber mais como adquirir o seu?envie msg sem compromisso! ,Novo,1000,Iphone Novo O Melhor Preço! ,Iphone
4373,Felipe Camarão,59072-475,Natal,"estar um pouco trincado , tava funcionando normalso que descarregou e não quer ligar, mas ele dásinal de vida pra dar o reset , tem que vimbuscar, vendo ou troco em cell ",Usado,160,Moto g2 ,Motorola e Lenovo
4374,Rocas,59010-320,Natal,IPhone 5s 32 Gb Faltando Frontal e iPhone 4S 32gbFaltando bateria e tampa traseira que o botão domeio o resto OK Vendo ou troco ,Usado,230,Vendo ou troco ,Iphone
4375,Nossa Senhora da Apresentação,59114-155,Natal,whats 999135725... ver número,Usado,250,Vendo Samsung j3 ,Samsung
4377,Pitimbu,59069-460,Natal,"celular perfeito biometria , câmera ,32 gb tela5.7 polegadas . vendo ou trocoacompanhá apenas carregador ",Usado,600,Galaxy j6 ,Samsung
4378,Cidade Alta,59025-020,Natal,vendo ou troco moto G6 plus aparelho top semmarcas de uso acompanha carregador turbo dual chipaceito cartão de crédito ,Usado,799,Moto G6 plus 64gigas ,Motorola e Lenovo
4379,Lagoa Nova,59076-200,Natal,aparelho seme novo com carregador valor 480 menor preço já ,Usado,480,J5 pro 32 gigas ,Samsung
4381,Cidade Nova,59072-620,Natal,"esta com a tela quebrada(não liga), tem concerto,oproblema é só na tela. Aceito negóciação, qualquercoisa chama no chat ",Usado,250,Iphone 5c ,Iphone
4382,Nossa Senhora da Apresentação,59114-150,Natal,Troco ,Novo,500,Troco ,Iphone
4383,Felipe Camarão,59074-310,Natal,vendo por precisao ta bom estado ,Usado,300,Lg k10 ,LG
4384,Felipe Camarão,59072-350,Natal,iCloud livre Bateria okTodo original Aceito cartão com TAXA O botão home Só funciona o virtual mais Não interferi no funcionamento. OBS troco por celular do mesmo nível ou Com volta ,Novo,1650,IPhone 7 128 gigas ,Iphone
4385,Quintas,59050-030,Natal,Não é o prime é o primeiro j7 Sem marcas de uso Chama no zap ou me liga 999638597... ver número,Usado,350,J7 semi novo 16 gp ,Samsung
4386,Petrópolis,59020-065,Natal,aparelho novinho funciona tudo perfeitamente vendoe troco aceito cartão ,Usado,450,Samsung J4 core tela 6 polegadas ,Samsung
4387,Pitimbu,59069-010,Natal,vendo smartphone lg Q6 novíssimo ,Usado,850,Celular ,LG
4388,Candelária,59064-735,Natal,"Funciona perfeitamente, apenas com essa listra natela e marcas e trincados de uso conforme asimagens.Acompanha caixa, adaptador usb e chave pro chip.APENAS VENDAPREÇO MÍNIMO JA ANUNCIADOAPENAS PAGAMENTO A VISTA ",Usado,350,Galaxy S7 Edge ,Samsung
4389,Cidade Alta,59025-250,Natal,lenovo vibe k5 ,Usado,300,Lenovo Vibe K5 ,Motorola e Lenovo
4390,Praia do Meio,59010-080,Natal,"Só venda. iPhone 7 32gb, sem marcas de uso. Completo nacaixa. Celular de procedência Película frente e verso.Todos os acessórios originais Cabo original Fonte de carregador original Adaptador de fone original Aparelho nunca aberto. Todo original.1 ano de uso. Funcionando tudo perfeitamente. iCloud em meu nome, retiro na hora. MENOR VALOR avista 1.600, não aceito propostasabsurdas.ACEITO CARTAO + taxa da maquineta ",Usado,1650,"IPhone 7 32gb, completo na caixa. Aceito cartão ",Iphone
4391,Planalto,59073-070,Natal,k10 2018 com 32g de memoria tela original só temum risco não interfere nada mal da pra ver ,Usado,320,Vendo ou troco em motorola ,LG
4392,Candelária,59064-690,Natal,Celular comprado hoje Aberto para conferência ( sem uso )Nota fiscal Cor azul 32 gOcta core ,Novo,700,Vendo Samsung A10 ,Samsung
